Timestamp,GPS_Latitude,GPS_Longitude,Lightning Distance,Lightning Intensity
57.243,30.6562,-96.2918,5,89991
62.868,30.6562,-96.2918,8,115419
64.306,30.6562,-96.2918,5,226835
65.567,30.6562,-96.2918,1,331229
67.794,30.6562,-96.2918,6,154847
68.519,30.6562,-96.2918,10,66472
69.889,30.6562,-96.2918,1,272372
71.152,30.6562,-96.2918,63,565315
72.596,30.6562,-96.2918,17,17857
73.797,30.6562,-96.2918,8,104245
75.112,30.6562,-96.2918,6,166593
79.223,30.6562,-96.2918,6,151208
81.358,30.6562,-96.2918,1,287585
81.831,30.6562,-96.2918,63,0
82.98,30.6562,-96.2918,63,518747
84.446,30.6562,-96.2918,1,290962
86.329,30.6562,-96.2918,6,162334
92.433,30.6562,-96.2918,12,39078
93.952,30.6562,-96.2918,8,102761
95.337,30.6562,-96.2918,5,211919
96.612,30.6562,-96.2918,6,172499
99.496,30.6562,-96.2918,63,0
